"id","nombre","precio_min","precio_max"
20526,"Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr","2109.00","4450.00"
20527,"Huevo de Chocolate Sorpresa Kinder 20 Gr","1630.00","2615.00"
20528,"Chocolate Confitado Rocklets 40 Gr","899.00","1470.00"
20529,"Galletitas Chocolate con Relleno de Limon Melba 120 Gr","919.00","1450.00"
20530,"Galletitas Obleas Rellena Opera 92 Gr","769.00","1450.00"
20531,"Chocolate Leche Arcor 25 Gr","615.00","1065.00"
20532,"Huevo de Pascua con Sorpresa en Caja Kinder 20 Gr","1630.00","2615.00"
20533,"Galletitas Vainilla con Relleno de Limon Duquesa 115 Gr","920.00","1330.00"
20534,"Pastilla Mentita Menta 26 Gr","320.00","600.00"
20535,"Pastillas Frutal Mentitas Lacasa 26 Gr","320.00","600.00"
20536,"Galletitas Rellena Sabor Frambuesa Sonrisas 108 Gr","799.00","1650.00"
20537,"Yerba Mate Campo Origen Controlado La Merced 500 Gr","3570.00","4274.00"
20538,"Azucar Molida Superior Ledesma 1 Kg","1035.84","1109.00"
20539,"Alfajor Clasico Terrabusi 50 Gr","850.00","1095.00"
20540,"Galletitas Salvado Frutigran Granix 250 Gr","1290.00","1469.00"
20541,"Te Comun La Virginia 50 Un","1430.00","1859.00"
20542,"Pure de Papas Knorr 125 Gr","1993.00","2119.00"
20543,"Te Verde en Saquitos La Virginia 20 Un","1190.00","1250.00"
20544,"Bombones Chocolate Avellana Ferrero Rocher 37.5 Gr","2290.00","4025.00"
20545,"Harina de Trigo 0000 Morixe 1 Kg","955.00","1078.00"
20546,"Mayonesa Clasica Doypack Hellmanns 950 Gr","3333.00","3540.00"
20547,"Sal Gruesa en Paquete Celusal 1 Kg","1729.00","1979.00"
20548,"Mermelada de Ciruela Bc 390 Gr","1829.00","2389.00"
20549,"Yerba Mate con Palo Suave Chamigo 500 Gr","1574.40","1675.00"
20550,"Bizcochos Agridulces Don Satur 200 Gr","844.00","1100.00"
20551,"Alfajor Triple Dulce de Leche Terrabusi 70 Gr","1345.00","1650.00"
20552,"Polvo para Preparar Flan Sabor Vainilla Exquisita 40 Gr","763.20","795.00"
20553,"Turron Arcor 25 Gr","180.00","370.00"
20554,"Caldo de Verdura Maggi 114 Gr","1119.00","1398.50"
20555,"Tableta de Chocolate con Leche Kinder 50 Gr","1819.00","3060.00"
20556,"Fideos Dedalitos Lucchetti 500 Gr","1152.00","1299.00"
20557,"Yerba Mate en Saquitos Taragui 50 Un","1740.00","1957.00"
20558,"Bombon Chocolate con Leche Relleno Bon O Bon 16 Gr","330.00","459.00"
20559,"Leche en Polvo Descremada Fortificada La Serenisima 200 Gr","2549.00","2629.00"
20560,"Yerba Mate con Palo 4Flex Suave Union 500 Gr","2109.00","4450.00"
20561,"Galletitas Surtidas Mix Chocolate Variedad 300 Gr","2065.00","2359.00"
20562,"Te con Limon en Saquitos Ensobrados La Virginia 20 Un","1635.00","1711.00"
20563,"Dulce de Leche Repostero La Serenisima 400 Gr","2840.00","2925.00"
20564,"Alfajor con Chips Triple Pepitos 57 Gr","1229.00","1650.00"
20565,"Galletitas Golden Rellenas Sabor Vainilla Oreo 118 Gr","1575.00","1889.99"
20566,"Alfajor Triple Leche Milka 70 Gr","1215.00","1650.00"
20567,"Mermelada de Durazno Bc La Campagnola 390 Gr","1830.00","2389.00"
20568,"Yerba 4 Flex Mañanita 1 Kg","4385.00","4899.00"
20569,"Tableta de Chocolate Kinder 12.5 Gr","527.00","649.99"
20570,"Bizcochitos Clasicas 9 de Oro 200 Gr","709.00","809.00"
20571,"Caldo de Gallina Maggi 12Un 114 Gr","1170.00","1469.00"
20572,"Cafe Molido Clasico Bolsa La Morenita 250 Gr","3475.00","3750.00"
20573,"Mostaza Original Tips Doypack Savora 250 Gr","1039.00","1069.00"
20574,"Tostada de Arroz Clasica Ala 150 Gr","1500.00","2400.00"
20575,"Galletitas Surtidas Mix Chocolate Variedad 300 Gr","2065.00","2359.00"
20576,"Yerba Mate con Palo Suave Chamigo 500 Gr","1574.40","1675.00"
20577,"Te Comun La Virginia 50 Un","1430.00","1859.00"
20578,"Fideos Dedalitos Lucchetti 500 Gr","1152.00","1299.00"
20579,"Yerba 4 Flex Mañanita 1 Kg","4385.00","4899.00"
20580,"Mermelada Naranja sin TACC Arcor 454 Gr","1819.00","2185.53"
20581,"Gomitas Dino Frutal Yummy 30 Gr","360.00","678.00"
20582,"Harina con Levadura Pizza Pureza 1 Kg","1460.00","1562.00"
20583,"Fideos Letritas Lucchetti 500 Gr","1195.00","1289.00"
20584,"Galletitas con Chips Chocolate Pepitos 119 Gr","1339.00","2000.00"
20585,"Galletitas Clasicas Cerealitas 212 Gr","1149.00","1900.00"
20586,"Yerba Mate Suave con Palo Playadito 500 Gr","1890.00","2595.00"
20587,"Galletitas de Arroz Crackers Dips sin Gluten Molinos Ala 100 Gr","1319.00","1900.00"
20588,"Yerba Mate Amanda 1 Kg","3400.00","4127.00"
20589,"Alfajor Chococrunch Gallo Snacks 20 Gr","605.00","890.00"
20590,"Te de Boldo en Saquitos La Virgina 25 Un","1690.00","1810.00"
20591,"Te Negro Sabor Frutilla Saquitos Ensobrado Green Hills 20 Un","1715.00","1949.00"
20592,"Tableta de Chocolate con Yogur Frutilla Cadbury 29 Gr","1115.00","1220.00"
20593,"Alfajor Triple Trishot 60 Gr","1350.00","1650.00"
20594,"Aderezo para Ensaladas Caesar Dos Anclas 350 Gr","3140.00","3272.00"
20595,"Polvo para Hornear Royal 50 Gr","890.00","1115.00"
20596,"Mayonesa Liviana sin TACC Doypack Hellmann's 237 Gr","1020.00","1089.00"
20597,"Te Manzanillas Hierbas La Virginia 25 Un","1350.00","1455.00"
20598,"Chocolate Semi Amargo Classic Nestle 80 Gr","2450.00","3545.00"
20599,"Cafe Molido Intenso La Morenita 500 Gr","5690.00","7499.00"
20600,"Chocolate Crunch Nestle 80 Gr","2500.00","3545.00"
20601,"Cafe Molido Torrado Clasico La Virginia 125 Gr","1990.00","2129.00"
20602,"Tostadas Integrales de Arroz sin Sal Molinos Ala 150 Gr","2060.00","2550.00"
20603,"Yerba Mate Suave Romance 1 Kg","3845.00","4777.00"
20604,"Palitos Salados con Queso Pehuamar 165 Gr","2140.00","2669.00"
20605,"Chocolate Blanco Milka Oreo 20 Gr","669.00","779.00"
20606,"Galletitas con Avena y Pasas Frutigran Granix 250 Gr","1555.00","1895.00"
20607,"Galletitas con Chia y Amaranto Naturalmente Granix 240 Gr","1549.99","1750.00"
20608,"Galletitas con Chips Pepitos 357 Gr","3649.00","4270.00"
20609,"Galletitas Dulces Clasicas Lincoln 219 Gr","1539.00","1730.00"
20610,"Te de Manzanilla Saquitos Ensobrado Green Hills 20 Un","1195.00","1447.79"
20611,"Aderezo para Ensaladas Alioli Dos Anclas 340 Gr","3425.00","3776.64"
20612,"Bizcochitos con Grasa Salados Don Satur 200 Gr","869.00","1100.00"
20613,"Sopa de Choclo Perejil Nuez Moscada Quick Knorr 5 Un","2350.00","2405.00"
20614,"Snack Palitos Salados Krach-Itos 110 Gr","1010.00","1068.99"
20615,"Galletitas con Chips de Chocolate Toddy 126 Gr","1450.00","2250.00"
20616,"Dulce de Leche Clasico La Serenisima 400 Gr","2625.00","2626.55"
20617,"Sopa de Zapallo con Pimienta Quick Balance Knorr 5 Un","2229.00","2405.00"
20618,"Fideos Spaghetti N3 Matarazzo 500 Gr","1385.00","1439.00"
20619,"Fideos Tallarines N5 Matarazzo 500 Gr","1379.00","1400.00"
20620,"Almidon de Maiz Bolsa Maizena 500 Gr","2386.00","2486.00"
20621,"Sal Fina en Salero Celusal 500 Gr","3091.00","3220.00"
20622,"Galletitas Surtidas Variedad Terrabusi 390 Gr","2095.00","2630.00"
20623,"Mayonesa Regular Doypack Hellmanns 475 Gr","1809.00","1905.00"
20624,"Galletitas Dulces Clasicas Lincoln 219 Gr","1539.00","1730.00"
20625,"Pan para Panchos Artesano Bimbo 6 Un","2650.00","2800.00"
20626,"Chocolate con Leche Milka Te Quiero 55 Gr","2150.00","3300.00"
20627,"Cafe Molido Torrado en Bolsa Cabrales 250 Gr","4139.00","4269.00"
20628,"Galletitas con Chips de Chocolate Toddy 126 Gr","1450.00","2250.00"
20629,"Mermelada Diet sabor Durazno Arcor 390 Gr","2055.00","2139.00"
20630,"Granola Crocante Granix 350 Gr","1990.00","2777.99"
20631,"Galletitas con Chips Pepitos 357 Gr","3649.00","4270.00"
20632,"Tostadas Integrales de Arroz Molinos Ala 150 Gr","2060.00","2550.00"
20633,"Sopa de Vegetales Apio Quick Knorr 5 Un","2350.00","2405.00"
20634,"Sopa Crema de Zapallo con Nuez Moscada Knorr 70 Gr","1425.00","1669.00"
20635,"Galletitas Dulces Rellenas Vainilla Oreo 182 Gr","1985.00","2430.00"
20636,"Pate de Foie Swift Lata 90 Gr","755.00","779.00"
20637,"Fideos Tallarines N5 Matarazzo 500 Gr","1379.00","1400.00"
20638,"Yerba Mate Elaborada sin Palo Playadito 500 Gr","2390.00","3432.00"
20639,"Fideos Spaghetti N3 Matarazzo 500 Gr","1385.00","1439.00"
20640,"Papas Fritas Clasicas Lays 134 Gr","2685.00","2830.00"
20641,"Arroz Parboil Luchetti 500 Gr","1365.00","1405.00"
20642,"Leche Entera Larga Vida Tradicion Tres Niñas 1 Lt","1830.00","1885.00"
20643,"Galletitas con Chia y Amaranto Naturalmente Granix 240 Gr","1549.99","1750.00"
20644,"Bizcochitos con Grasa Salados Don Satur 200 Gr","869.00","1100.00"
20645,"Papas Fritas Clasicas Lays 85 Gr","2449.00","2580.00"
20646,"Cafe Molido Torrado en Bolsa Cabrales 500 Gr","7350.00","8230.00"
20647,"Cafe Instantaneo Suave Origen Dolca 170 Gr","4900.00","10029.00"
20648,"Arroz Parboil Bolsa Gallo Oro 1 Kg","2720.00","3400.00"
20649,"Bizcochitos Agridulces 9 de Oro 200 Gr","756.00","929.00"
20650,"Cafe Instantaneo Suave Extra Aroma Arlistan 170 Gr","4250.00","4460.00"
20651,"Cafe Molido Clasico La Virginia 500 Gr","6790.00","7612.00"
20652,"Palitos Salados con Queso Pehuamar 165 Gr","2140.00","2669.00"
20653,"Sopa Crema Vegetales Balance Knorr 60 Gr","1830.00","1869.00"
20654,"Dulce de Leche Estilo Colonial La Serenisima 400 Gr","3139.00","3200.00"
20655,"Obleas Bañadas de Chocolate Rhodesia 22 Gr","645.00","759.00"
20656,"Galletitas Surtidas Variedad Terrabusi 390 Gr","2095.00","2630.00"
20657,"Caldo de Gallina Maggi 6 Un 57 Gr","590.00","750.00"
20658,"Cafe Instantaneo Cappuccino Dolca 125 Gr","1790.00","2679.00"
20659,"Yerba Mate Suave Romance 1 Kg","3845.00","4777.00"
20660,"Yerba Suave Playadito 1 Kg","3690.00","4865.00"
20661,"Snack Palitos Salados Krach-Itos 110 Gr","1010.00","1068.99"
20662,"Almidon de Maiz Bolsa Maizena 500 Gr","2386.00","2486.00"
20663,"Miel Squeezze Aleluya 250 Gr","3180.00","3770.00"
20664,"Sal Fina en Salero Celusal 500 Gr","3091.00","3220.00"
20665,"Yerba Mate Seleccion Especial La Tranquera 500 Gr","1729.00","2275.10"
20666,"Galletitas Dulces Rellenas con Crema Oreo 354 Gr","3599.00","4415.00"
20667,"Mermelada Durazno Arcor 454 Gr","1900.00","1959.00"
20668,"Tostadas de Arroz Cerealitas 160 Gr","1995.00","2119.00"
20669,"Galletitas con Chips de Chocolate Toddy 126 Gr","1450.00","2250.00"
20670,"Cafe Instantaneo Suave Origen Dolca 170 Gr","4900.00","10029.00"
20671,"Cafe Molido Torrado en Bolsa Cabrales 250 Gr","4139.00","4269.00"
20672,"Bizcochitos Agridulces 9 de Oro 200 Gr","756.00","929.00"
20673,"Cafe Molido Torrado en Bolsa Cabrales 500 Gr","7350.00","8230.00"
20674,"Palitos Salados con Queso Pehuamar 165 Gr","2140.00","2669.00"
20675,"Cafe Instantaneo Suave Extra Aroma Arlistan 170 Gr","4250.00","4460.00"
20676,"Sopa de Pollo con Dedalitos Integrales Knorr 80 Gr","1335.00","1635.00"
20677,"Alfajores Glaseados Terrabusi 6 Un 228 Gr","850.00","885.00"
20678,"Oblea Bañada en Chocolate Choco Pause Milda 45 Gr","1195.00","1315.00"
20679,"Cereal con Formas de Frutas Caja Trix 230 Gr","4699.00","4905.00"
20680,"Mini Crackers 5 Semillas Paseo 300 Gr","1130.00","1259.00"
20681,"Chocolate Blanco Milka 55 Gr","2150.00","2525.00"
20682,"Tostadas de Arroz Clasicas sin TACC Tia Maruca 120 Gr","935.00","1025.00"
20683,"Mermelada de Frutilla Frasco Dulcor 454 Gr","1919.00","2949.00"
20684,"Ketchup Squeeze Hellmanns 400 Gr","3965.00","4130.00"
20685,"Spaghetti Rina Matarazzo 500 Gr","2000.00","2060.00"
20686,"Mermelada de Durazno en Frasco Dulcor 454 Gr","1690.00","2609.00"
20687,"Tostaditas de Arroz Clasicas Molinos Ala 100 Gr","930.00","1550.00"
20688,"Yerba Hierbas Serranas Cbse 500 Gr","1589.00","1639.00"
20689,"Caramelos sin Azucar Frambuesa Clight 20 Gr","605.00","829.00"
20690,"Galletitas Dulces Lincoln 459 Gr","2989.00","3349.00"
20691,"Galletitas Vainilla Rellenas Smams 105 Gr","1295.00","1335.00"
20692,"Ravioles Ricota Mozzarella Danbo Parmesano La Salteña 450 Gr","2300.00","2369.00"
20693,"Cafe Molido Torrado Intenso Bonafide 250 Gr","3595.00","4145.00"
20694,"Galletitas Chocolate Lincoln 153 Gr","1039.00","1249.00"
20695,"Te Mezcla de Hierbas en Saquitos La Virginia 25 Un","1550.00","1689.00"
20696,"Chocolate Semiamargo Aguila 100 Gr","2990.00","3083.99"
20697,"Bizcocho Negrito Don Satur 200 Gr","859.00","899.00"
20698,"Copos de Maiz Azucarados Granix Skarchitos 500 Gr","2680.00","2760.00"
20699,"Bananita Dolca 30 Gr","949.00","1030.00"
20700,"Alfajor Triple Caja Oreo 36 Un","1139.00","1469.00"
20701,"Crackers Salvado Tripac 360 Gr","2789.00","3239.00"
20702,"Ravioles Jamon y Mozzarella La Salteña 450 Gr","2300.00","2369.00"
20703,"Cappuccino Instantaneo Doypack La Virginia 125 Gr","2810.00","2895.00"
20704,"Cafe Instantaneo Suave Origen Doypack Dolca 170 Gr","5750.00","8220.00"
20705,"Premezcla para Preparar Mousse Chocolate Royal 65 Gr","1800.00","1915.00"
20706,"Espinaca Deshidratada Knorr 50 Gr","1635.00","1960.00"
20707,"Arroz Parboil Luchetti 1 Kg","2599.00","2679.00"
20708,"Galletitas Dulces Rellenas Vainilla Oreo 118 Gr","1360.00","1619.00"
20709,"Capuccino Instantaneo Light Doypack La Virginia 100 Gr","2990.00","3269.00"
20710,"Caramelos Masticables Menta Mentos 29.7 Gr","959.00","1240.00"
20711,"Mermelada Ciruela Light Arcor 390 Gr","1995.00","2552.00"
21995,"Mix Supremo 50 Gr","1490.00","1490.00"
20712,"Chocolate Bueno White Kinder 39 Gr 1 Un","2199.00","2350.99"
20713,"Picadillo de Carne en Lata Swift 90 Gr","755.00","779.00"
20714,"Chicle Menta Beldent 10 Gr","609.00","705.00"
20715,"Barra de Cereal de Frutas y Almendras Vita Cereal 6 Un 138 Gr","3014.00","3569.99"
20716,"Pan para Hamburguesas Artesano Bimbo 4 Un","2650.00","2799.99"
20717,"Cafe Molido Torrado Intenso Bonafide 500 Gr","7190.00","7405.00"
20718,"Alfajor Triple Caja Oreo 36 Un","1139.00","1469.00"
20719,"Cafe en Saquitos Intenso Bonafide 18 Gr","3360.00","4990.00"
20720,"Galletitas Criollitas Pentapack 499 Gr","1779.00","2070.00"
20721,"Sal Fina Modificada 66% Menos de Sodio Genser 300 Gr","5185.00","5401.00"
20722,"Fideos Tirabuzones Fortificados Favorita 500 Gr","850.00","875.00"
20723,"Chocolate Semiamargo Aguila 100 Gr","2990.00","3083.99"
20724,"Ketchup Squeeze Hellmanns 400 Gr","3965.00","4130.00"
20725,"Mermelada de Durazno en Frasco Dulcor 454 Gr","1690.00","2609.00"
20726,"Bananita Dolca 30 Gr","949.00","1030.00"
20727,"Galletitas Vainilla Rellenas Smams 105 Gr","1295.00","1335.00"
20728,"Fideos Mostachol Rayado N52 Matarazzo 500 Gr","1359.00","1400.00"
20729,"Ravioles Ricota Mozzarella Danbo Parmesano La Salteña 450 Gr","2300.00","2369.00"
20730,"Mermelada de Ciruela Arcor 454 Gr","1810.00","2185.53"
20731,"Te Mezcla de Hierbas en Saquitos La Virginia 25 Un","1550.00","1689.00"
20732,"Te en Saquitos La Virginia 25 Un","785.00","809.00"
20733,"Galletitas Dulces Rellenas Vainilla Oreo 118 Gr","1360.00","1619.00"
20734,"Pan para Hamburguesas Artesano Bimbo 4 Un","2650.00","2799.99"
20735,"Arroz Parboil Luchetti 1 Kg","2599.00","2679.00"
20736,"Mini Crackers 5 Semillas Paseo 300 Gr","1130.00","1259.00"
20737,"Picadillo de Carne en Lata Swift 90 Gr","755.00","779.00"
20738,"Barra de Cereal de Frutas y Almendras Vita Cereal 6 Un 138 Gr","3014.00","3569.99"
20739,"Mermelada Ciruela Light Arcor 390 Gr","1995.00","2552.00"
20740,"Chocolate Classic Duo Nestle 80 Gr","2500.00","3545.00"
20741,"Cafe Instantaneo Suave Origen Doypack Dolca 170 Gr","5750.00","8220.00"
20742,"Harina de Trigo Leudante Morixe 1 Kg","1090.00","1270.00"
20743,"Aderezo Not Cream Cheese 210 Gr","3490.00","3595.00"
20744,"Tostadas de Arroz Clasicas sin TACC Tia Maruca 120 Gr","935.00","1025.00"
20745,"Arroz Largo Fino sin TACC Maximo 1 kG","1800.00","1939.00"
20746,"Chicle Menta Beldent 10 Gr","609.00","705.00"
20747,"Ravioles Jamon y Mozzarella La Salteña 450 Gr","2300.00","2369.00"
20748,"Oblea Rellena Oreo Chocopause Milka 45 Gr","1195.00","1280.00"
20749,"Espinaca Deshidratada Knorr 50 Gr","1635.00","1960.00"
20750,"Sopa de Vegetales con Fideos Caracolitos Knorr 107 Gr","1630.00","1669.00"
20751,"Arroz Largo Fino 00000 Molinos Ala 1 Kg","1625.00","2475.00"
20752,"Jugo de Limon Minerva 500 Ml","1449.00","1450.00"
20753,"Yerba Mate Tradicional Cruz De Malta 1 Kg","4339.00","4360.00"
20754,"Cafe en Capsulas Brasil Caja Morenita 10 Un","5749.00","7589.00"
20755,"Galletitas con Semillas 150 Gr","1550.00","1690.00"
20756,"Salsa Barbacoa Doypack Hellmanns 250 Gr","1629.00","1701.00"
20757,"Aceitunas Verdes Clasicas Doypack Castell 180 Gr","1799.00","1804.00"
20758,"Mermelada de Frutilla La Campagnola 454 Gr","2700.00","3239.69"
20759,"Salsa de Queso Cheddar Dos Anclas 350 Gr","3574.00","3722.00"
20760,"Yerba Mate Cp Natural Salus 1 Kg","4360.00","4679.00"
20761,"Pastas Rellenas Cappellettis Jamon y Queso Lucchettinis 500 Gr","3225.60","3360.00"
20762,"Pure de Fruta Sabor Manzana Zummy Pou 90 Gr","1000.00","1040.00"
20763,"Avena Tradicional Morixe 400 Gr","1725.00","2405.99"
20764,"Sopa Crema de Verduras Knorr 60 Gr","1599.00","1659.00"
20765,"Cafe Instantaneo Origen Doypack Dolca 170 Gr","5790.00","8220.00"
20766,"Budin con Relleno de Dulce de Leche 350 Gr","3100.00","3590.00"
20767,"Polvo para Preparar Bizcochuelo Chocolate Mama Cocina 540 Gr","2300.00","2415.00"
20768,"Avena Instantanea Morixe 400 Gr","1989.00","2405.99"
20769,"Budin con Frutos Secos 320 Gr","3100.00","3590.00"
20770,"Oblea Rellena y Cubierta de Chocolate Dark Kit Kat 41 Gr","1200.00","1695.00"
20771,"Fideos Penne Rigate Libre De Gluten Matarazzo 500 Gr","2759.00","2980.00"
20772,"Aceite de Girasol Cañuelas 1.5 Lt","2880.01","3000.01"
20773,"Cafe Instantaneo Choco/Mocha Doypack Nescafe 125 Gr","1790.00","2600.00"
20774,"Fajitas Sabor Queso Tia Maruca 120 Gr","490.00","1036.00"
20775,"Arroz Grano Largo Fino Ita Caabo Molinos Ala 1 Kg","2350.00","3659.00"
20776,"Copos de Maiz Azucarados Granix Skarchitos 240 Gr","1200.00","1450.00"
20777,"Arroz Largo Fino 00000 Molinos Ala 1 Kg","1625.00","2475.00"
20778,"Budin Chocolate con Chips 300 Gr","3100.00","3890.00"
20779,"Sal Fina en Salero Celusal 250 Gr","2495.00","2765.00"
20780,"Sopa de Vegetales con Fideos Caracolitos Knorr 107 Gr","1630.00","1669.00"
20781,"Cafe en Capsulas Brasil Caja Morenita 10 Un","5749.00","7589.00"
20782,"Pan de Viena para Panchos Cortos 240 Gr","1479.00","1490.00"
20783,"Edulcorante Liquido Hileret Zucra 200 Cc","3978.00","4909.00"
20784,"Galletitas de Miel Melitas 159 Gr","1023.99","1079.00"
20785,"Salsa de Queso Cheddar Dos Anclas 350 Gr","3574.00","3722.00"
20786,"Caramelos Duro Naranja Dulce Clight 20 Gr","605.00","829.00"
20787,"Mayonesa Doypack Natura 237 Gr","1009.00","1150.00"
20788,"Aceite de Girasol Cocinero 1.5 Lt","2880.00","3000.00"
20789,"Cafe Instantaneo Sabor Cookies y Cream Nescafe 125 Gr","1790.00","2600.00"
20790,"Mayonesa Vegana sin TACC Doypack Hellmanns 250 Gr","1262.00","1315.00"
20791,"Aceite Oliva Extra Virgen Morixe 500 Ml","11390.00","12863.00"
20792,"Fideos Penne Rigate N45 Lucchetti 500 Gr","1145.00","1200.00"
20793,"Sopa Crema de Verduras Knorr 60 Gr","1599.00","1659.00"
20794,"Aceitunas Verdes Clasicas Doypack Castell 180 Gr","1799.00","1804.00"
20795,"Yerba Seleccion Nobleza Gaucha 500 Gr","2040.00","2040.00"
20796,"Yerba Silueta Dr Cormillot Cbse 500 Gr","1589.00","1590.00"
20797,"Aceitunas Verdes Clasicas Doy Pack Castell 100 Gr","1109.00","1110.00"
20798,"Galletitas Cereal Clasicas Cerealitas Pack 3 Un 212 Gr","3000.00","3605.00"
20799,"Fideos Mostacholes Fortificado Favorita 500 Gr","850.00","850.00"
20800,"Aceite de Girasol Cañuelas 900 Cc","1890.00","1899.00"
20801,"Aderezo de Ketchup Doypack Hellman's 500 Gr","3005.00","3035.00"
20802,"Salsa de Queso Sabor Cheddar Adler 250 Gr","3300.00","3505.00"
20803,"Yerba Mate Cp Natural Salus 500 Gr","2290.00","2459.00"
20804,"Jugo de Limon Minerva 500 Ml","1449.00","1450.00"
20805,"Premezcla para Brownies Chocolate Mama Cocina 425 Gr","2007.00","2160.00"
20806,"Yerba Mate con Naranja Cbse 500 Gr","1589.00","1590.00"
20807,"Cafe en Capsulas Espresso Roast Starbucks Caja 57 Gr","10980.00","13076.00"
20808,"Papas Fritas Clasicas Pehuamar 135 Gr","2459.00","2805.00"
20809,"Galletitas con Avena Soja y Chips de Chocolate Frutigran Granix 255 Gr","1749.99","1840.00"
20810,"Aceite de Girasol Legitimo 1.5 Lt","2520.00","2890.00"
20811,"Salsa Barbacoa Doypack Hellmanns 250 Gr","1629.00","1701.00"
20812,"Arroz Parboil Molinos Ala 1 Kg","1885.00","2900.00"
20813,"Mix Saborizante Tomate Cebolla y Morron Sobres Knorr 4 Un 30 Gr","1079.00","1295.00"
20814,"Galletitas con Avena Soja y Chips de Chocolate Frutigran Granix 255 Gr","1749.99","1840.00"
20815,"Pastas Rellenas Cappellettis Jamon y Queso Lucchettinis 500 Gr","3225.60","3360.00"
20816,"Mayonesa Vegana sin TACC Doypack Hellmanns 500 Gr","2101.00","2199.00"
20817,"Sopa de Pollo con Fideos Cabello de Angel Knorr 105 Gr","1630.00","1669.00"
20818,"Aceitunas Verdes Clasicas Doypack Castell 180 Gr","1799.00","1804.00"
20819,"Fajitas Sabor Queso Tia Maruca 120 Gr","490.00","1036.00"
20820,"Pan de Viena para Panchos Cortos 240 Gr","1479.00","1490.00"
20821,"Salsa de Queso Cheddar Dos Anclas 350 Gr","3574.00","3722.00"
20822,"Fideos Penne Rigate Libre De Gluten Matarazzo 500 Gr","2759.00","2980.00"
20823,"Avena Tradicional Morixe 400 Gr","1725.00","2405.99"
20824,"Cafe en Capsulas Brasil Caja Morenita 10 Un","5749.00","7589.00"
20825,"Mix Saborizante Tomate Cebolla y Morron Sobres Knorr 4 Un 30 Gr","1079.00","1295.00"
20826,"Premezcla para Pizza Integral con Levadura Pureza 550 Gr","1587.00","1654.00"
20827,"Sopa Crema de Verduras Knorr 60 Gr","1599.00","1659.00"
20828,"Yerba Mate Seleccion Nobleza Gaucha 1 Kg","3045.00","3910.00"
20829,"Galletitas Cereal Clasicas Cerealitas Pack 3 Un 212 Gr","3000.00","3605.00"
20830,"Te Negro Sabor Limon Saquitos Ensobrado Green Hills 20 Un","1890.00","2039.00"
20831,"Mayonesa Clasica Doypack Hellmanns 237 Gr","969.00","1060.00"
20832,"Aceite Oliva Extra Virgen Morixe 500 Ml","11390.00","12863.00"
20833,"Yerba Mate con Naranja Cbse 500 Gr","1589.00","1590.00"
20834,"Arroz Largo Fino 00000 Molinos Ala 1 Kg","1625.00","2475.00"
20835,"Fideos Mostacholes Fortificado Favorita 500 Gr","850.00","850.00"
20836,"Aceite de Girasol Natura 900 Ml","1943.04","2050.00"
20837,"Arroz Grano Largo Fino Ita Caabo Molinos Ala 1 Kg","2350.00","3659.00"
20838,"Sopa Light Vegetales Quick Balance Knorr 5 Un","2350.00","2369.00"
20839,"Yerba Mate en Saquitos La Tranquera 50 Un","1620.00","1622.00"
20840,"Papas Fritas Clasicas Pehuamar 135 Gr","2459.00","2805.00"
20841,"Avena Instantanea Morixe 400 Gr","1989.00","2405.99"
20842,"Budin con Relleno de Dulce de Leche 350 Gr","3100.00","3590.00"
20843,"Aceite de Girasol Cañuelas 900 Cc","1890.00","1899.00"
20844,"Aceite de Oliva Cocinero 500 Cc","10665.60","12250.00"
20845,"Aderezo de Ketchup Doypack Hellman's 500 Gr","3005.00","3035.00"
20846,"Mayonesa Vegana sin TACC Doypack Hellmanns 250 Gr","1262.00","1315.00"
20847,"Budin Chocolate con Chips 300 Gr","3100.00","3890.00"
20848,"Jugo de Limon Minerva 500 Ml","1449.00","1450.00"
20849,"Mayonesa Liviana sin TACC Doypack Hellmann's 475 Gr","1829.00","1889.00"
20850,"Sopa de Vegetales con Fideos Caracolitos Knorr 107 Gr","1630.00","1669.00"
20851,"Aderezo a Base de Aceite Ahumada Doypack Hellmann's 250 Gr","1779.00","2286.00"
20852,"Harina 000 Fortificada con Calcio Cañuelas 1 Kg","769.00","840.00"
20853,"Pastilla La Yapa 17 Gr","304.99","375.00"
20854,"Palitos de Maiz Pehuamar 125 Gr","2150.00","2299.00"
20855,"Harina de Trigo 000 Pureza 1 Kg","863.04","909.70"
20856,"Yerba Mate Cp Natural Salus 500 Gr","2290.00","2459.00"
20857,"Budin con Frutos Secos 320 Gr","3100.00","3590.00"
20858,"Bizcochuelo Vainilla Bolsa Mama Cocina 540 Gr","2009.00","2200.00"
20859,"Cafe Instantaneo Choco/Mocha Doypack Nescafe 125 Gr","1790.00","2600.00"
20860,"Cafe Clasico en Saquitos La Virginia 20 Un","3745.00","3779.00"
20861,"Polvo para Preparar Postre Sabor Chocolate Exquisita 80 Gr","859.20","895.00"
20862,"Sopa de Pollo con Fideos Cabello de Angel Knorr 105 Gr","1630.00","1669.00"
20863,"Barbacoa Hellmanns 500 Gr","2869.00","2875.00"
20864,"Alfajor Triple Chocolate Turimar 1 Un","500.00","500.00"
20865,"Premezcla para Pizza con Levadura Pureza 550 Gr","1449.00","1510.00"
20866,"Alfajor de Dulce de Leche Sol Serrano 40 Gr","330.00","362.00"
20867,"Papas Fritas sabor Queso y Cebolla Lays 77 Gr","2505.00","2506.99"
